update,kimg,loss,grad_scale,step_skipped,seconds,peak_vram_mib
1,0.128000,15.97663879,65536,true,8.631789,5918.155776
2,0.256000,15.02455807,32768,true,9.863258,2141.825024
3,0.384000,16.38218498,16384,true,10.570045,2141.825024
4,0.512000,17.54660606,8192,true,11.285077,2141.825024
5,0.640000,15.65527916,4096,true,11.996894,2141.825024
6,0.768000,16.49589157,2048,true,12.713955,2141.825024
7,0.896000,17.07062531,1024,true,13.437398,2141.825024
8,1.024000,17.72678757,512,true,14.148274,2141.825024
9,1.152000,15.91043949,256,false,14.930087,2141.825024
10,1.280000,16.54581451,256,false,15.656545,2570.203136
11,1.408000,30.65740013,256,true,16.369827,2570.203136
12,1.536000,27.73904228,128,false,17.090731,2570.203136
13,1.664000,31.39515305,128,false,17.805176,2570.203136
14,1.792000,33.60535431,128,false,18.530009,2570.203136
15,1.920000,34.32526398,128,false,19.251053,2570.203136
16,2.048000,37.43996811,128,false,19.971074,2570.203136
17,2.176000,29.94143677,128,false,20.687601,2570.203136
18,2.304000,29.29212952,128,false,21.410220,2570.203136
19,2.432000,32.82629395,128,false,22.121314,2570.203136
20,2.560000,31.93735695,128,false,22.834531,2570.203136
21,2.688000,31.07918739,128,false,23.547337,2570.203136
22,2.816000,35.37376404,128,false,24.267232,2570.203136
23,2.944000,33.36061096,128,false,24.983905,2570.203136
24,3.072000,31.76605225,128,false,25.699690,2570.203136
25,3.200000,29.77571487,128,false,26.424841,2570.203136
26,3.328000,29.64580536,128,false,27.140885,2570.203136
27,3.456000,31.86913300,128,false,27.859995,2570.203136
28,3.584000,34.03108978,128,false,28.579197,2570.203136
29,3.712000,29.72347450,128,false,29.334688,2570.203136
30,3.840000,32.04776001,128,false,30.090426,2570.203136
31,3.968000,29.83702278,128,false,30.813002,2570.203136
32,4.096000,31.43259811,128,false,31.534051,2570.203136
33,4.224000,32.86679077,128,false,32.262252,2570.203136
34,4.352000,32.32881546,128,false,32.983064,2570.203136
35,4.480000,31.37874413,128,false,33.708292,2570.203136
36,4.608000,31.15612984,128,false,34.439189,2570.203136
37,4.736000,29.53305435,128,false,35.155301,2570.203136
38,4.864000,30.17369080,128,false,35.879978,2570.203136
39,4.992000,30.41657257,128,false,36.604645,2570.203136
40,5.120000,28.39312744,128,false,37.384500,2570.203136
41,5.248000,35.21541595,128,false,38.113355,2570.203136
42,5.376000,32.13874817,128,false,38.849463,2570.203136
43,5.504000,31.53693390,128,false,39.573488,2570.203136
44,5.632000,31.20793533,128,false,40.300162,2570.203136
45,5.760000,32.72998810,128,false,41.021766,2570.203136
46,5.888000,27.27248573,128,false,41.743218,2570.203136
47,6.016000,29.25093079,128,false,42.477972,2570.203136
48,6.144000,30.01542664,128,false,43.200986,2570.203136
49,6.272000,28.79453659,128,false,43.942031,2570.203136
50,6.400000,32.34014893,128,false,44.658313,2570.203136
51,6.528000,28.71923828,128,false,45.388946,2570.203136
52,6.656000,32.15507507,128,false,46.120254,2570.203136
53,6.784000,32.45943832,128,false,46.850030,2570.203136
54,6.912000,30.96995926,128,false,47.592658,2570.203136
55,7.040000,30.71553040,128,false,48.323829,2570.203136
56,7.168000,32.43819427,128,false,49.053313,2570.203136
57,7.296000,31.05434608,128,false,49.790246,2570.203136
58,7.424000,26.82646179,128,false,50.555560,2570.203136
59,7.552000,26.10136414,128,false,51.322035,2570.203136
60,7.680000,29.67824554,128,false,52.059186,2570.203136
61,7.808000,30.28600883,128,false,52.789581,2570.203136
62,7.936000,30.91587830,128,false,53.526519,2570.203136
63,8.064000,28.97945595,128,false,54.268384,2570.203136
64,8.192000,31.68129349,128,false,54.999676,2570.203136
65,8.320000,28.66585159,128,false,55.733164,2570.203136
66,8.448000,28.65645218,128,false,56.462597,2570.203136
67,8.576000,28.59440804,128,false,57.188774,2570.203136
68,8.704000,26.89576721,128,false,57.920419,2570.203136
69,8.832000,28.53584862,128,false,58.644525,2570.203136
70,8.960000,30.18574524,128,false,59.375049,2570.203136
71,9.088000,26.39382362,128,false,60.106735,2570.203136
72,9.216000,31.73194122,128,false,60.828673,2570.203136
73,9.344000,25.93029594,128,false,61.572621,2570.203136
74,9.472000,28.96280670,128,false,62.298592,2570.203136
75,9.600000,31.90180588,128,false,63.029736,2570.203136
76,9.728000,29.70761681,128,false,63.765772,2570.203136
77,9.856000,31.94122314,128,false,64.488986,2570.203136
78,9.984000,31.90935707,128,false,65.216682,2570.203136
79,10.112000,31.05408287,128,false,65.947376,2570.203136
80,10.240000,28.64883423,128,false,66.672530,2570.203136
81,10.368000,31.24681091,128,false,67.403325,2570.203136
82,10.496000,28.37053680,128,false,68.125035,2570.203136
83,10.624000,29.24021149,128,false,68.851481,2570.203136
84,10.752000,29.84640121,128,false,69.579950,2570.203136
85,10.880000,28.61990356,128,false,70.307972,2570.203136
86,11.008000,32.91775513,128,false,71.032802,2570.203136
87,11.136000,29.44733047,128,false,71.753526,2570.203136
88,11.264000,29.88570023,128,false,72.484518,2570.203136
89,11.392000,30.27711487,128,false,73.203055,2570.203136
90,11.520000,30.01863289,128,false,73.920227,2570.203136
91,11.648000,27.33654404,128,false,74.635346,2570.203136
92,11.776000,27.59097481,128,false,75.356827,2570.203136
93,11.904000,29.94876862,128,false,76.079834,2570.203136
94,12.032000,27.24915314,128,false,76.789529,2570.203136
95,12.160000,28.13440514,128,false,77.511163,2570.203136
96,12.288000,27.95068932,128,false,78.226321,2570.203136
97,12.416000,24.81452942,128,false,78.935749,2570.203136
98,12.544000,28.66461945,128,false,79.651289,2570.203136
99,12.672000,30.32545471,128,false,80.373562,2570.203136
100,12.800000,30.11379242,128,false,81.091870,2570.203136
101,12.928000,26.90580940,128,false,81.806287,2570.203136
102,13.056000,30.87305069,128,false,82.520044,2570.203136
103,13.184000,28.10569382,128,false,83.242273,2570.203136
104,13.312000,26.72591209,128,false,83.966221,2570.203136
105,13.440000,26.84828186,128,false,84.681072,2570.203136
106,13.568000,28.37910080,128,false,85.399850,2570.203136
107,13.696000,29.50794220,128,false,86.121153,2570.203136
108,13.824000,29.53137589,128,false,86.884083,2570.203136
109,13.952000,29.22442055,128,false,87.677732,2570.203136
110,14.080000,27.51322746,128,false,88.496920,2570.203136
111,14.208000,29.85905838,128,false,89.309835,2570.203136
112,14.336000,25.10919952,128,false,90.068307,2570.203136
113,14.464000,29.42556763,128,false,90.780045,2570.203136
114,14.592000,28.95244026,128,false,91.513456,2570.203136
115,14.720000,28.38478851,128,false,92.229963,2570.203136
116,14.848000,24.78182793,128,false,92.945215,2570.203136
117,14.976000,26.79061127,128,false,93.671907,2570.203136
118,15.104000,27.78947067,128,false,94.417877,2570.203136
119,15.232000,25.80303574,128,false,95.170193,2570.203136
120,15.360000,25.15182304,128,false,95.918842,2570.203136
121,15.488000,25.66778946,128,false,96.698933,2570.203136
122,15.616000,26.48645401,128,false,97.406205,2570.203136
123,15.744000,27.67897606,128,false,98.152923,2570.203136
124,15.872000,26.68359184,128,false,98.861336,2570.203136
125,16.000000,26.34475136,128,false,99.569402,2570.203136
