metric,budget_kimg,nfe,paired_seed_count,expected_seed_count,coverage_complete,adaptive_better_seed_count,adaptive_worse_seed_count,fixed_mean,fixed_std,adaptive_mean,adaptive_std,delta_mean,delta_std,delta_sem,paired_sampling_settings_verified
fid_5k,16,1,3,3,true,1,2,447.129851567,56.6750842479,446.178336668,61.2694896865,-0.951514898922,4.68103658113,2.7025977302,true
fid_5k,16,2,3,3,true,0,3,282.394583527,46.089058549,283.232787211,45.9329194852,0.838203683399,0.418108636389,0.24139513377,true
fid_5k,32,1,3,3,true,0,3,441.804103813,6.76274524911,442.233742381,7.05908041742,0.429638567725,0.312042134859,0.180157610559,true
fid_5k,32,2,3,3,true,0,3,314.73974038,85.9286622694,316.960760977,86.4045527702,2.22102059736,1.86161173984,1.07480203912,true
fid_5k,64,1,3,3,true,0,3,428.380300967,9.60169829863,428.717421145,9.82227417487,0.337120178763,0.284929535566,0.164504144059,true
fid_5k,64,2,3,3,true,1,2,337.818397663,58.2333642884,336.598731316,63.932763525,-1.21966634657,5.7437970119,3.31618275099,true
kid_5k,16,1,3,3,true,1,2,0.53211603562,0.0827878520558,0.532057126363,0.0908733049721,-5.8909257253e-05,0.00835272871594,0.00482245017262,true
kid_5k,16,2,3,3,true,0,3,0.295774380366,0.0583899461973,0.296926026543,0.0584699389834,0.00115164617697,0.000534649471594,0.000308680016347,true
kid_5k,32,1,3,3,true,0,3,0.503507852554,0.0129454634502,0.504618287086,0.0135410894353,0.00111043453217,0.000605360926297,0.000349505293754,true
kid_5k,32,2,3,3,true,0,3,0.341517756383,0.110714076766,0.344851354758,0.112327161931,0.00333359837532,0.00326883527918,0.00188726292837,true
kid_5k,64,1,3,3,true,1,2,0.493996332089,0.0226131602163,0.494224528472,0.023069119076,0.000228196382523,0.000741372603396,0.00042803167214,true
kid_5k,64,2,3,3,true,1,2,0.372727702061,0.0775770755471,0.371873319149,0.0850432522961,-0.000854382912318,0.0075679480343,0.00436935683482,true
